instance,run,best_distance,execution_time,avg_distance,std_distance,best_run_distance
pr01.txt,1,967.5057539621339,176.07214856147766,967.5057539621339,0.0,967.5057539621339
pr02.txt,1,2348.4516397994207,186.50170850753784,2348.4516397994207,0.0,2348.4516397994207
pr03.txt,1,4488.493643598935,316.9728493690491,4488.493643598935,0.0,4488.493643598935
pr04.txt,1,10324.554080325632,505.9332318305969,10324.554080325632,0.0,10324.554080325632
pr05.txt,1,7718.672817951376,887.9982903003693,7718.672817951376,0.0,7718.672817951376
pr06.txt,1,9965.181884804964,1149.911943435669,9965.181884804964,0.0,9965.181884804964
pr07.txt,1,1524.9308522688161,143.56117582321167,1524.9308522688161,0.0,1524.9308522688161
pr08.txt,1,4450.25923099507,370.183402299881,4450.25923099507,0.0,4450.25923099507
pr09.txt,1,10372.96344274842,469.10215640068054,10372.96344274842,0.0,10372.96344274842
pr10.txt,1,11431.015464719574,790.8963162899017,11431.015464719574,0.0,11431.015464719574
